generic_name	cns_drug	smiles
Abacavir	FALSE	NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1
Abarelix	FALSE	
Abatacept	FALSE	
Abciximab	FALSE	
Abiraterone	FALSE	CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@@]4(C)C(CC=C4C4=CN=CC=C4)C3CC=C2C1
Acamprosate	TRUE	CC(=O)NCCCS(O)(=O)=O
Acarbose	FALSE	C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
Acebutolol	FALSE	CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1
Acenocoumarol	FALSE	CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O
Acepromazine	FALSE	CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O
Aceprometazine	FALSE	CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C
Acetaminophen	TRUE	CC(=O)NC1=CC=C(O)C=C1
Acetazolamide	FALSE	CC(=O)NC1=NN=C(S1)S(N)(=O)=O
Acetic acid	FALSE	CC([O-])=O
Acetohexamide	FALSE	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
Acetohydroxamic Acid	FALSE	CC(=O)NO
Acetophenazine	FALSE	CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1
Acetylcysteine	FALSE	CC(=O)N[C@@H](CS)C(O)=O
Acetyldigitoxin	FALSE	[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](OC(C)=O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1
Acetylsalicylic acid	FALSE	CC(=O)OC1=CC=CC=C1C(O)=O
Acitretin	FALSE	COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1
Aclidinium	FALSE	[Br-].OC(C(=O)OC1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1
Acyclovir	FALSE	NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
Adalimumab	FALSE	
Adapalene	FALSE	COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
Adefovir Dipivoxil	FALSE	CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C
Adenine	FALSE	NC1=C2NC=NC2=NC=N1
Adenosine	FALSE	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
Adenosine monophosphate	FALSE	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
Adenosine triphosphate	FALSE	NC1=C2N=CN([C@@H]3O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
Adinazolam	FALSE	CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
ado-trastuzumab emtansine	FALSE	
Afatinib	FALSE	CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1
Aflibercept	FALSE	
Agalsidase beta	FALSE	
Agomelatine	FALSE	COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1
Ajmaline	FALSE	CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]44C[C@@H](C2[C@H]4O)N3[C@@H]1O
Albendazole	FALSE	CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
Alcaftadine	FALSE	CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=CC=CC=C12
Alclometasone	FALSE	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
Aldesleukin	FALSE	
Alefacept	FALSE	
Alemtuzumab	FALSE	
Alendronate	FALSE	NCCCC(O)(P(O)(O)=O)P(O)(O)=O
Alfacalcidol	FALSE	CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
Alfentanil	TRUE	CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
Alfuzosin	FALSE	COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1
Alglucerase	FALSE	
Alglucosidase alfa	FALSE	
Aliskiren	FALSE	COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1
Alitretinoin	FALSE	C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O
Alizapride	FALSE	COC1=CC2=NNN=C2C=C1C(=O)NCC1CCCN1CC=C
Allopurinol	FALSE	O=C1N=CN=C2NNC=C12
