COMPOUND_NAME	SMILES	CDK5_pIC50
2476896	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC	8.008773924
2476895	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC	7.522878745
2476818	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)F	7.27572413
2476898	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccccc3	8.060480747
2476893	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)O	7.823908741
2476897	Cn1c(=O)ccc2c1nc(nc2)Nc3ccccc3	7.050609993
2476899	Cn1c(=O)ccc2c1nc(nc2)Nc3ccccc3	6.59345982
2476894	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)N(=O)=O	7.677780705
2477018	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)N(=O)=O	7.279840697
2476776	c1ccc(cc1)Nc2ncc3ccc(=O)[nH]c3n2	5.844663963
2476976	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccccc3	7.057991947
2477028	Cc1cc(ccc1Cl)Nc2ncc3ccc(=O)n(c3n2)C(C)C	7.420216403
2477029	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC	6.769551079
2476935	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)F	6.188424994
2477120	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F	7.585026652
2476930	CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)I	7.247183569
2477006	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC	6.823908741
2477001	CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC	6.698970004
2477094	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)C	7.199282922
2477111	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)Cl	7.795880017
2476971	CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)F)F)F	6.744727495
2476983	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C(=O)N	6.629857153
2477224	Cn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O	5.657577319
2474898	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NS(=O)(=O)C)C	7.48148606
2476820	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC	7.537602002
2477115	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O	6.431798276
2477019	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)F	7.251811973
2476949	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)F	6.468521083
2477033	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Cl	7.080921908
2476799	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OCCOC	6.661543506
2477052	Cc1ccc(cc1N(C)C(=O)C)Nc2ncc3ccc(=O)n(c3n2)C(C)C	6.356547324
2476985	CCCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)C(F)(F)F	6.669586227
2477102	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)C	7.35261703
2477123	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)OC	7.080921908
2476775	CCn1c(=O)ccc2c1nc(nc2)Nc3ccccc3	7.187086643
2476794	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OCCN(CC)CC	6.809668302
2476947	CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O	6.585026652
2477108	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)O)Cl	7.255707017
2476784	CC(C)Cn1c(=O)ccc2c1nc(nc2)Nc3ccccc3	7.823908741
2477054	Cc1cc(ccc1Br)Nc2ncc3ccc(=O)n(c3n2)C(C)C	6.356547324
2477124	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)NC(=O)C	6.958607315
2476823	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)N(C)C	7.193820026
2476903	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)O	6.142667504
2477007	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C#N	7.040958608
2476998	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC	7.628932138
2476946	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)F	6.229147988
2477005	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)S(=O)(=O)N	8.013228266
2476925	CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)C(F)(F)F	5.937418016
2477000	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)Cl	6.958607315
2477109	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)N(=O)=O	7.167491087
2476819	CCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)F	6.40560745
2476932	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)C	7.537602002
2477225	Cn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC	6.225483034
2477116	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC	7.853871964
2476944	CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)N(=O)=O	6.361510743
2477125	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)NC(=O)C)F	5.958607315
2477003	CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)Cl)Cl	7.236572006
2476906	CCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC	6.214670165
2476940	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C	6.337242168
2476957	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)I	7.337242168
2477136	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C(F)(F)F	7.055517328
2477214	COc1cc(cc(c1)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F)C(F)(F)F	5.744727495
2476994	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)O	6.229147988
2477027	CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O	6.537602002
2477208	COc1ccc(cc1OC)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F	6.908333042
2476977	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)OC	7.223298816
2476813	CCn1c2c(cc(c1=O)C)cnc(n2)Nc3ccccc3	6.231361899
2477053	Cc1cc(cc(c1O)C)Nc2ncc3ccc(=O)n(c3n2)C(C)C	6.823908741
2477098	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Cl	7.081969663
2477077	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)I)C	8.055517328
2477118	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)Br	7.193820026
2477065	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)N(=O)=O	7.431798276
2476986	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Br	6.42159003
2476927	CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)C(F)(F)F	6.50962008
2477034	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC	8.013228266
2477069	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC	6.552841969
2477206	c1cc(=O)n(c2c1cnc(n2)Nc3cc(c(c(c3)Cl)O)Cl)CC(F)(F)F	6.279840697
2477112	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC	7.091514981
2477025	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O	7.361510743
2477117	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C#N	7.356547324
2477073	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)Cl)Cl	7.086186148
2477207	c1cc(cc(c1)N(=O)=O)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F	6.105130343
2477044	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)N(C)C(=O)C	7.22184875
2477063	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)O	6.876148359
2477072	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)F	7.443697499
2477024	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)O)Cl	6.556737013
2477046	Cc1ccc(cc1C)Nc2ncc3ccc(=O)n(c3n2)C(C)C	7.26760624
